xPos,yPos,d,t
-0.000000,0.000000,180.000000,0.000000
-0.000000,0.000000,180.000000,0.500000
-0.000000,0.000000,180.000000,1.000000
-0.000000,0.000000,180.000000,1.800000
-0.000000,0.000000,180.000000,2.300000
-0.000000,0.000000,180.000000,2.300000
-0.000145,0.086631,-179.850582,2.651793
0.000335,0.178380,178.858674,2.804808
0.005321,0.272401,174.404497,2.925450
0.011264,0.317809,170.417637,2.981656
0.015428,0.339572,167.832511,3.011007
0.020507,0.360493,164.775911,3.041192
0.026584,0.380416,161.184229,3.072265
0.033734,0.399193,156.996409,3.104355
0.042021,0.416687,152.166221,3.137713
0.046610,0.424914,149.504420,3.155001
0.051501,0.432777,146.681369,3.172787
0.056702,0.440261,143.704849,3.191090
0.062214,0.447358,140.587774,3.209872
0.068041,0.454056,137.348642,3.229072
0.074184,0.460349,134.011595,3.248608
0.080645,0.466231,130.606001,3.268381
0.087421,0.471696,127.165505,3.288273
0.094511,0.476743,123.726596,3.308157
0.101912,0.481372,120.326842,3.327900
0.109620,0.485584,117.003009,3.347373
0.117628,0.489383,113.789338,3.366457
0.125928,0.492776,110.716167,3.385044
0.134512,0.495773,107.809074,3.403047
0.143369,0.498385,105.088554,3.420480
0.152487,0.500626,102.570194,3.437928
0.171447,0.504068,98.181403,3.475874
0.191258,0.506273,94.696121,3.520146
0.211757,0.507468,92.142558,3.573955
0.254000,0.508000,90.000000,3.819622
0.254000,0.508000,90.000000,4.319622
0.254000,0.508000,90.000000,4.319622
0.138718,0.508239,89.647077,4.617412
0.023740,0.509850,88.644913,4.740493
-0.090606,0.514038,87.068646,4.834549
-0.203972,0.521832,84.983124,4.913390
-0.315991,0.534096,82.446447,4.982376
-0.426284,0.551539,79.513128,5.044287
-0.534466,0.574725,76.236516,5.104441
-0.640148,0.604077,72.670306,5.166817
-0.742940,0.639895,68.869062,5.230988
-0.842461,0.682359,64.887809,5.298689
-0.938339,0.731541,60.780869,5.374139
-1.030216,0.787414,56.600260,5.462639
-1.117755,0.849862,52.394000,5.560394
-1.200643,0.918688,48.204695,5.658337
-1.278594,0.993625,44.068644,5.756636
-1.351356,1.074344,40.015584,5.855430
-1.418716,1.160466,36.069054,5.954827
-1.480501,1.251569,32.247263,6.054897
-1.536586,1.347196,28.564282,6.155680
-1.586898,1.446871,25.031411,6.257183
-1.631419,1.550101,21.658576,6.359384
-1.670191,1.656389,18.455670,6.462237
-1.703321,1.765244,15.433779,6.565678
-1.730987,1.876188,12.606284,6.669625
-1.753440,1.988769,9.989830,6.773987
-1.771009,2.102567,7.605176,6.878666
-1.784108,2.217205,5.477934,6.983560
-1.793238,2.332359,3.639190,7.088574
-1.798990,2.447765,2.125972,7.193619
-1.802057,2.563233,0.981464,7.298626
-1.803227,2.678651,0.254789,7.403558
-1.803400,2.794000,-0.000000,7.508420
-1.803400,2.908916,0.000000,7.612889
-1.803400,3.021481,0.000000,7.715221
-1.803400,3.129728,0.000000,7.813627
-1.803400,3.232080,0.000000,7.906675
-1.803400,3.327328,0.000000,7.993264
-1.803400,3.414601,0.000000,8.072603
-1.803400,3.493343,0.000000,8.144186
-1.803400,3.563281,0.000000,8.207767
-1.803400,3.676939,0.000000,8.311092
-1.803400,3.758129,0.000000,8.384901
-1.803400,3.846906,0.000000,8.465607
-1.803400,3.963260,0.000000,8.571384
-1.803400,4.024242,0.000000,8.626822
-1.803400,4.105827,0.000000,8.702701
-1.803400,4.206001,0.000000,8.813175
-1.803400,4.318000,0.000000,9.106694
-1.803400,4.318000,0.000000,9.606694
-1.803400,4.318000,0.000000,10.106694
-1.803400,4.318000,-10313.240312,10.106694
-1.803400,4.318000,-10313.240312,10.606694
-1.803400,4.318000,-10313.240312,10.806694
-1.803400,4.318000,-10313.240312,11.306694
