xPos,yPos,d,t,a,
-2.300000,0.760000,0.000000,0.000000,driveSetOdometryRoutine,
-2.300000,0.760000,0.000000,0.000000,drivePathRoutine,
-2.299962,0.839479,-0.080960,0.336958,drivePathRoutine,
-2.299706,0.918832,-0.312622,0.476344,drivePathRoutine,
-2.299036,0.997945,-0.679426,0.583032,drivePathRoutine,
-2.297780,1.076714,-1.167171,0.672657,drivePathRoutine,
-2.295789,1.155044,-1.762645,0.751268,drivePathRoutine,
-2.292936,1.232851,-2.453326,0.821968,drivePathRoutine,
-2.289114,1.310062,-3.227136,0.886605,drivePathRoutine,
-2.284240,1.386611,-4.072246,0.946385,drivePathRoutine,
-2.278246,1.462441,-4.976934,1.002154,drivePathRoutine,
-2.271085,1.537507,-5.929484,1.054531,drivePathRoutine,
-2.262729,1.611768,-6.918126,1.105038,drivePathRoutine,
-2.253163,1.685194,-7.931013,1.155023,drivePathRoutine,
-2.242393,1.757761,-8.956231,1.204626,drivePathRoutine,
-2.230436,1.829452,-9.981832,1.253806,drivePathRoutine,
-2.217326,1.900260,-10.995892,1.302523,drivePathRoutine,
-2.203109,1.970181,-11.986580,1.350743,drivePathRoutine,
-2.187846,2.039218,-12.942233,1.398430,drivePathRoutine,
-2.171606,2.107382,-13.851434,1.445551,drivePathRoutine,
-2.154473,2.174687,-14.703086,1.492074,drivePathRoutine,
-2.136538,2.241154,-15.486474,1.537967,drivePathRoutine,
-2.117904,2.306809,-16.191317,1.583200,drivePathRoutine,
-2.098679,2.371681,-16.807811,1.627742,drivePathRoutine,
-2.078983,2.435804,-17.326654,1.671563,drivePathRoutine,
-2.058938,2.499216,-17.739064,1.714635,drivePathRoutine,
-2.038675,2.561960,-18.036794,1.756930,drivePathRoutine,
-2.018330,2.624079,-18.212146,1.798422,drivePathRoutine,
-1.998041,2.685621,-18.257987,1.839164,drivePathRoutine,
-1.977951,2.746638,-18.167780,1.879645,drivePathRoutine,
-1.938949,2.867301,-17.556410,1.961147,drivePathRoutine,
-1.902500,2.986510,-16.340388,2.043511,drivePathRoutine,
-1.869775,3.104720,-14.498191,2.126910,drivePathRoutine,
-1.841917,3.222398,-12.030973,2.211507,drivePathRoutine,
-1.820013,3.340007,-8.970801,2.297449,drivePathRoutine,
-1.805066,3.457993,-5.388371,2.384851,drivePathRoutine,
-1.797968,3.576782,-1.396493,2.473785,drivePathRoutine,
-1.799474,3.696761,2.854573,2.564280,drivePathRoutine,
-1.810170,3.818271,7.191544,2.656336,drivePathRoutine,
-1.830453,3.941596,11.439351,2.749953,drivePathRoutine,
-1.844254,4.004009,13.479954,2.797373,drivePathRoutine,
-1.860498,4.066952,15.442311,2.845184,drivePathRoutine,
-1.879168,4.130437,17.312310,2.893389,drivePathRoutine,
-1.900232,4.194474,19.078245,2.941988,drivePathRoutine,
-1.923635,4.259066,20.730685,2.990977,drivePathRoutine,
-1.949308,4.324209,22.262236,3.040349,drivePathRoutine,
-1.977159,4.389893,23.667210,3.091004,drivePathRoutine,
-2.007077,4.456101,24.941244,3.144703,drivePathRoutine,
-2.038929,4.522809,26.080891,3.202689,drivePathRoutine,
-2.072560,4.589984,27.083196,3.265815,drivePathRoutine,
-2.107792,4.657586,27.945272,3.335293,drivePathRoutine,
-2.144423,4.725568,28.663868,3.412964,drivePathRoutine,
-2.182226,4.793871,29.234928,3.501920,drivePathRoutine,
-2.220947,4.862429,29.653122,3.608190,drivePathRoutine,
-2.260307,4.931167,29.911322,3.747372,drivePathRoutine,
-2.300000,5.000000,30.000000,4.084286,drivePathRoutine,
